Frage,Gekürzter Tipp (immer sichtbar),Aktive Frage,Tipp,Erklärung,Kriterium,Typ des Inhalts,Kommentar,Tag wenn grün,"Tag wenn gelb, orange, rot"
Bilder und Videos im Artikel stellen das beschriebene Geschehen tatsächlich und objektiv dar. (falls vorhanden),"Achte darauf, ob sie die Szene überdramatisieren oder aus einem anderen Kontext stammen. Nutze eine Reverse Image Search (z.B. TinEye)",TRUE,"Nutze die umgekehrte Bildersuche bzw. Reverse Image Search wie z.B. TinEye, um zu sehen, ob die Fotos authentisch sind und nicht aus anderen Kontexten stammen. Werden z.B für eine Demonstration in Berlin Bilder einer anderen, größeren Demonstration in einem anderen Land gezeigt? Wenn es sich um KI-Fotos handelt, visualisieren sie den Artikel neutral oder dramatisieren sie ihn?","Um Behauptungen vertrauenswürdiger erscheinen zu lassen, werden manchmal veraltete oder aus einem anderen Kontext stammende Fotos, Bilder oder Videos gezeigt oder durch KI generiert.",Bilder/Videos,"Neutral, Textnachricht, Meinung",,Objektivität der Bilder und Videos,Mangelnde Objektivität der Bilder und Videos
"Es bestehen keine Zweifel daran, dass Bilder und Videos, etwa durch den Einsatz von KI, Cropping, Effekten, Zusammenschnitten, manipuliert und künstlich dramatisiert wurden.",,FALSE,,,Bilder/Videos,"Neutral, Textnachricht, Meinung",,Darstellung von Bilder und Videos,
Diee Bilder/Videos sind nicht offensichtlich manipuliert oder bearbeitet.,"Achte z. B. auf Musik, viele Schnitte, Effekte, Filter oder schwammige Umrisse",TRUE,,,Bilder/Videos,"Neutral, Textnachricht, Meinung","Es sei den, es dient der Anschauung des Themas, etwa bei Meinungen.",,
Visualisierungen (Grafiken o.Ä.) werden korrekt dargestellt und sind nicht verzerrt.,"Achte darauf, ob Achsen verzerrt oder Daten weggelassen werden.",TRUE,Achte bei Diagrammen zum Beispiel auf die Skalen an den Achsen oder darauf ob die Daten zum Zeitraum passen.,,Bilder/Videos,"Neutral, Textnachricht, Meinung","Grafiken hab ich mal zu den Bildern und Videos einsortiert. Beschreibt die folgenden, in grau hinterlegten Farben.Entweder als Extra-Auswahl oder weglassen. ",Einsatz von Visualisierungen,Mangelhafte Visualisierungen
Die Daten der Visualisierung werden angegeben und sind nachvollziehbar. Die Daten passen zum Zeitraum. ,,FALSE,,,Bilder/Videos,"Neutral, Textnachricht, Meinung",Nur relevant wenn Visualisierung vorhanden. ,Daten der Visualisierungen,
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit des Kriteriums Bilder & Videos negativ beeinflussen. ","Achte darauf, ob KI missbräuchlich/verdeckt zum Einsatz kommt.",TRUE,Zum Beispiel missbräuchlicher Einsatz von KI,,Bilder/Videos,"Meinung, Neutral, Textnachricht",,,
Im Artikel werden unterschiedliche Positionen dargestellt.,"Achte darauf, ob im Text verschiedene Sichtweisen und Kontroversen benannt werden.",TRUE,Schau dir die im Text genannten Argumente an. Werden verschiedene Sichtweisen vorgestellt?,Professionell erstellte Artikel betrachten eine Situation häufig aus unterschiedlichen Perspektiven. Dies erhöht die Vertrauenswürdigkeit.,Inhalt,Neutral,,Darstellung unterschiedlicher Positionen,Mangelnde Darstellung unterschiedlicher Positionen
Die Grammatik und Rechtschreibung sind fehlerfrei. ,-,TRUE,,"Um Informationen schnell in Umlauf zu bringen, werden Artikel manchmal maschinell in andere Sprachen übersetzt. Fehlerhafte Grammatik oder unübliche Satzstellungen können hierfür ein Indiz sein.",Inhalt,"Neutral, Meinung, Textnachricht",,Grammatik und Rechtschreibung,Fehlerhafte Grammatik und Rechtschreibung
"Es wird angegeben, wenn Informationen unsicher, vorläufig oder umstritten sind.",,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Aussagekraft der Informationen,
"Es werden keine entscheidenden und relevanten Informationen ausgelassen, die das Gesamtbild verändern würden.",,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Darstellung des Gesamtbildes,
Der Artikel enthält keine offensichtliche logische Fehlschlüsse oder argumentative Sprünge.,,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Logische Argumentation,
"Der Artikel ist frei von Sponsoring, Advertorial-Charakter und vebirgt keine versteckte Werbeabsicht.",,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Werbefreier Beitrag,
"Der Artikel beinhaltet keine offensichtlichen rhetorischen Manipulationstechniken, um die Wahrnehmung bewusst zu beeinflussen.",,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Rhetorische Manipulationstechniken,
"Der Artikel ist objektiv geschrieben und frei von Hetze, Generalisierungen, Panikmache oder Ähnlichem.","Achte auf Superlative, Verallgemeinerungen („immer“), Meinungen („ich finde“) oder Emotionen, die bei dir ausgelöst werden.",TRUE,"Überprüfe, ob ein gefühlsbetonter Schreibstil vorliegt. Werden Meinungen oder Gefühle zum Ausdruck gebracht? Fließen politische, emotionale oder geschmackliche Wertungen ein? Als Indiz hierfür gelten Superlative (z.B. ""die schlimmste Folge""), subjektive Äußerungen (z.B. ""Ich finde, dass..."") oder eine beleidigende bzw. extrem bewundernde Ausdrucksweise.","Sehr subjektive, emotional aufgeladene und eventuell herabwürdigende Sprache ist ein Indiz dafür, dass es sich um eine wenig reflektierte persönliche Darstellung handelt. Dies mindert die Vertrauenswürdigkeit der Aussagen.",Inhalt,"Neutral, Textnachricht, Meinung",,Objektivität des Beitrags,Mangelnde Objekivität
Die Überschrift passt zum Inhalt des Artikels. ,"Achte darauf, ob die Überschrift den Inhalt fair zusammenfasst.",TRUE,,"Passt der Inhalt des Artikels nicht zur Überschrift, handelt es sich vielleicht um sogenanntes Clickbaiting: reißerische Überschriften erzeugen mehr Klicks und erhöhen dadurch die Werbeeinnahmen.",Inhalt,"Neutral, Textnachricht, Meinung",,Passende Überschrift,Clickbait
Die im Beitrag aufgeführten Behauptungen wurden bislang nicht durch Fact-Checking widerlegt.,,TRUE,,,Inhalt,"Neutral, Textnachricht, Meinung",,Factchecking des Beitrags,
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit des Kriteriums Inhalt negativ beeinflussen. ",Achte auf rhetorische Manipulationstechniken (im Help Center verlinkt) oder bewusst ausgelassene Informationen,TRUE,"Zum Beispiel logische Fehlschlüsse, rhetorische Manipulationstechniken oder bewusst ausgelassene Informationen",,Inhalt,"Neutral, Meinung, Textnachricht",,,
"Das Medium wirkt unabhängig. Es gibt keine Hinweise, dass finanzielle oder politische Interessen den Inhalt beeinflussen.
","Wem gehört das Medium, wer finanziert es? Nutze eine Online-Suche oder das Impressum.",TRUE,"Achte auf die Besitzer*innen und Geldgeber*innen des Mediums, in dem der Artikel erschienen ist. Gibt es einen Verdacht auf staatliche Einflüsse, politische, wirtschaftliche oder ideologische Interessen? RT (früher Russia Today) ist z.B. nachweislich vom russischen Staat finanziert und verbreitet offiziell die Sichtweise der russischen Regierung auf das Weltgeschehen. Oft sind diese Informationen unter ""Impressum"", ""Über Uns"" oder ""Kontakt"" zu finden, außerdem über Suchmaschinen schnell im Netz.","Medien, die durch staatliche Gremien oder eine korrupte Gruppierung inhaltlich kontrolliert werden, sind nicht unabhängig und berichten oft nicht neutral.",Medium,"Meinung, Neutral",Correctiv wird z.B. von Bundeszentrale für politische Bildung unterstützt...  ,Finanzielle und politische Unabhängigkeit,Finanzielle oder politische Färbung
"URL, Logo und Design passen zusammen und wirken authentisch. Die Seite gibt sich nicht als ein anderes bekanntes Medium aus.
","Achte darauf, ob die URL wirklich zur Marke passt (https://www.zeit.de) vs. (https://www.zeitt.de) und ob Logo und Design stimmig wirken.",TRUE,"Achte auf die gesamte Internetadresse (URL). Manche Webseiten imitieren bekannte Medien. Beispiel: ABCnews.com versus ABCnews.com.co. Achte bei Artikeln auf die Qualität von Logo, Webseite und Design insgesamt.","Es kommt vor, dass Webseiten große, populäre Medienhäuser oder andere Einrichtungen in ihrem Online-Auftritt imitieren, um glaubwürdig zu wirken.",Medium,"Meinung, Neutral",,Authentischer Internetauftritt,Unauthentischer Internetauftritt
"Die Seite hat keine ungewöhnliche oder auffällge Tracker, Pop-Ups und/oder aggressive Werbung.",-,TRUE,,,Medium,"Meinung, Neutral",,Technische Merkmale,Auffällige Werbung
"Das Medium hat ein Impressum, inkl. Angabe von verantwortlichen Personen und Kontaktinformationen wie Telefonnummer und E-Mail-Adresse.",Das Impressum ist in der Regel im Footer der Seite zu finden.,TRUE,Das Impressum ist in der Regel im Footer der Seite zu finden.,"Es ist rechtlich vorgegeben, diese Informationen zu stellen. Wenn dies nicht der Fall ist, kann es darauf schließen lassen, das die Betreibenden des Mediums bewusst Informationen zurückhalten, was die Vertrauenswürdigkeit des Mediums beeinträchtigt.",Medium,"Meinung, Neutral","Alte Frage: Das Medium gibt Einblicke in den redaktionellen Standard (z. B. Korrekturrichtlinien, Ombudsstelle) sowie das Impressum und/oder Kontaktinformationen.",Redaktionelle Transparenz,Intransparenz/fehlende Kontaktinformation
Es gibt keine (bis wenige) dokumentierten Fälle von Falschberichterstattung des Mediums oder frühere Veröffentlichungen die Zweifel an ihrer Seriosität begründen.,,FALSE,,,Medium,"Meinung, Neutral",Z.B. außergewöhnlich viele Rügen beim Presserat (etwa Bild),Seriöse Berichterstattung,
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit im Bereich Medium negativ beeinflussen. ","Achte auf fehlende Transparenz (Impressum, Redaktion), bekannte Fälle von Falschberichten oder Rügen durch den Presserat.",TRUE,"Zum Beispiel mangelnde Transparenz zu redaktionellen Abläufen, eine Vielzahl von dokumentieren Fällen von Falschberichterstattung oder Rügen des Presserats.",,Medium,"Meinung, Neutral",,,
Der Artikel ist von einer fachkundigen Person oder einer/einem beruflichen Journalist*in geschrieben.,Der Name steht meit unter dem Titel oder am Ende des Artikels. Gibt es einen prüfbaren Klarnamen + Bio oder andere Veröffentlichungen zum Thema?,TRUE,"Oft ist diese Information unterhalb vom Titel oder am Ende des Artikels platziert. Findest Du die Person unter den etablierten Journalist*innen, Autor*innen oder anerkannten Wissenschaftler*innen, ist sie im öffentlichen Leben bekannt?","Die Veröffentlichung von Inhalten unter dem eigenen Namen ermöglicht es, die Aussagen einer existierenden Person zuzuordnen und diese eventuell für eine Stellungnahme zu kontaktieren. Dies ist ein Indiz für professionell erstellte Inhalte.",Quelle,"Neutral, Meinung",,Autor*in des Beitrags,Autor*in fragwüdig
Die Textnachricht ist von einer fachkundigen Person oder einer/einem beruflichen Journalist*in geschrieben.,Der Name steht meist im Profil. Gibt es einen prüfbaren Klarnamen + Bio oder andere Posts zum Thema?,TRUE,,,Quelle,Textnachricht,,,Verfasser*in fragwüdig
Behauptungen werden mit externen Quellen und/oder eigenen Rechercheergebnissen belegt.,"Achte darauf, ob nach Kernaussagen im Text Quellen genannt werden.",TRUE,"Überprüfe, ob bei essentiellen Aussagen im Artikel Quellen angegeben werden. Teilweise sind diese als Fußnote oder Link unterhalb des Artikels zu finden.","Die Angabe von Quellen erhöht die Vertrauenswürdigkeit einer Nachricht. Es kann unglaubwürdig sein, dabei nur eigene Quellen zu verwenden.",Quelle,"Neutral, Meinung, Textnachricht",,Vorhandene Quellenbelege,Mangelnde Quellenbelege
Die genannten externen Quellen wurden vollständig aufgeführt und/oder verlinkt und sind nachprüfbar.,Meist sind diese direkt verlinkt oder als Fußnote unterhalb des Artikels zu finden.,TRUE,,,Quelle,"Neutral, Meinung, Textnachricht",,Nachprüfbare Quellenangaben,Quellenangaben mangelhaft nachprüfbar
Die Behauptungen des Artikels decken sich vollständig mit denen der Originalquellen.,,FALSE,,,Quelle,"Neutral, Meinung, Textnachricht",,Korrekte Wiedergabe der Originalquellen,
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit des Kriteriums Quelle negativ beeinflussen. ","Achte darauf, ob z.B. als Quelle meist eigene Artikel/Posts aufgeführt werden.",TRUE,Zum Beispiel inhaltliche Abweichung von den Aussagen der Quelle.,,Quelle,"Meinung, Neutral, Textnachricht",,,
"Die genannten Expert:innen sind nicht für unbelegte und/oder fragwürdige Aussagen bekannt, die in der Vergangenheit widerlegt wurden.",,FALSE,,,Zitate,"Neutral, Textnachricht, Meinung",,Seriöse Expert*innen,
In dem Beitrag werden identifizierbare Personen direkt oder indirekt zitiert. ,"Achte darauf, ob Vor- und Nachname sowie Beruf genannt werden.",TRUE,"
Kommen in dem Artikel identifizierbare Personen (beispielsweise mit vollständigem Namen) direkt oder indirekt zu Wort?","Gesprächspartner*innen in Zitaten zu Wort kommen zu lassen, ist ein gebräuchliches journalistisches Mittel. Es macht einen Bericht besser nachvollziehbar. Werden Personen mit vollem Namen genannt, können ihre Positionen auch von anderen überprüft werden. Dies erhöht die Vertrauenswürdigkeit. Zur Entdeckung, dass der Journalist C. Relotius Reportagen teilweise erfunden hatte, trugen nicht zuletzt auch gefälschte Zitate bei.",Zitate,"Neutral, Textnachricht",,Identifizierbare Personen,Personen erschwert identifizierbar
"Die zitierten Expert*innen haben nachweislich eine Ausbildung, Beruf oder Erfahrung, zu diesem Thema.
","Achte darauf, ob sie wirklich Fachwissen haben mittels einer kurzen Online-Suche (Name + Beruf).",TRUE,"Benutze Internet-Suchmaschinen, um die zitierten Personen zu recherchieren. Sind sie wirklich im angegebenen Beruf tätig und haben sie passendes Fachwissen? Gibt es auch andere Artikel, in denen sie zitiert werden?","Expert*in muss nicht bedeuten, dass die Person im angesprochenen Thema Expertise besitzt. Beispielsweise haben Zahnärzt*innen anderes Fachwissen als Virolog*innen im Bereich der Epidemiologie. Beide können jedoch als Mediziner*innen zitiert werden.",Zitate,"Neutral, Textnachricht, Meinung",,Expert*innen besitzen Expertise im Themengebiet,Mangelnde Expertise der zitierten Expert*innen
Die Zitate sind korrekt wiedergegeben und nicht aus dem Zusammenhang gerissen.,"Nutze eine kurze Online-Suche mit dem Zitat in ""Anführungzeichen"" und vergleiche die Ergebnisse.",TRUE,,,Zitate,"Neutral, Textnachricht, Meinung",,Übereinstimmung der Zitate im Kontext,Mangelnde Übereinstimmung der Zitate im Kontext
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit des Kriteriums Zitate negativ beeinflussen. ","Achte darauf, ob Zitate z. B. nur sehr verkürzt (einzelne Wörter) angegeben werden.",TRUE,,,Zitate,"Meinung, Neutral, Textnachricht",,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
